ott190952 Adiantum_pedatum
ott920656 Asclepias_tuberosa
ott1031841 Asplenium_montanum
ott1079925 Asplenium_platyneuron
ott302576 Asplenium_trichomanes
ott5918857 Athyrium_asplenioides
ott3882467 Aureolaria_flava
ott3882468 Aureolaria_laevigata
ott3866625 Botrychium_alabamense
ott405385 Botrychium_dissectum
ott756444 Botrychium_virginianum
ott5759276 Carex_debilis_var._debilis
ott5759275 Carex_debilis_var._rudgei
ott180564 Castanea_pumila
ott489986 Commelina_erecta
ott262105 Cypripedium_parviflorum_var._pubescens
ott3866270 Cystopteris_protrusa
ott779740 Danthonia_sericea
ott11456 Dennstaedtia_punctilobula
ott48708 Deparia_acrostichoides
ott405374 Diplazium_pycnocarpon
ott722163 Dryopteris_goldiana
ott722159 Dryopteris_intermedia
ott1056059 Dryopteris_marginalis
ott105576 Festuca_arundinacea
ott79114 Isoetes_engelmannii
ott913050 Luzula_acuminata_var._carolinae
ott719017 Lycopodium_clavatum
ott634835 Lycopodium_flabelliforme
ott79108 Lycopodium_lucidulum
ott881611 Magnolia_fraseri
ott41631 Onoclea_sensibilis
ott373779 Orobanche_uniflora
ott41623 Osmunda_cinnamomea
ott765285 Osmunda_claytoniana
ott43719 Polygonum_tenue
ott860113 Polypodium_virginianum
ott647092 Polystichum_acrostichoides
ott195639 Pteridium_aquilinum
ott837485 Rudbeckia_hirta
ott557380 Rudbeckia_laciniata
ott904388 Rumex_obtusifolius
ott998890 Sassafras_albidum
ott294857 Schrankia_microphylla
ott78166 Selaginella_apoda
ott259523 Symphyotrichum_subulatum_var._subulatum
ott243255 Thelypteris_hexagonoptera
ott797167 Thelypteris_noveboracensis
ott5511344 Vitis_aestivalis_var._aestivalis
