Query_Name,OTL_Name,OTT_ID,Note
Alisma plantago-aquatica,Alisma plantago-aquatica subsp. orientale,487679,Non_top_tip;containing "-"
Aster novae-angliae,Symphyotrichum novae-angliae,368812,containing "-"
Aster novi-belgii,Symphyotrichum novi-belgii,855680,containing "-"
Athyrium filix-femina,Athyrium filix-femina,718937,containing "-"
Capsella bursa-pastoris,Capsella bursa-pastoris,833644,containing "-"
Carex merritt-fernaldii,Carex merritt-fernaldii,658980,containing "-"
Carex novae-angliae,Carex novae-angliae,863328,containing "-"
Dryopteris x triploidea,Dryopteris x triploidea,5148860,incertae sedis
Lychnis flos-cuculi,Silene flos-cuculi,569458,containing "-"
Populus x jackii,Populus x jackii,3915046,incertae sedis
Pyrus x soulardii,Malus x soulardii,3903009,incertae sedis
Galeopsis tetrahit,Galeopsis tetrahit,1066887,incertae sedis
Sparganium erectum,Sparganium erectum,8597,incertae sedis
Amelanchier sp.,Amelanchier sp.,,pytoy issue
Crataegus sp.,Crataegus sp.,,pytoy issue
Epilobium sp.,Epilobium sp.,,pytoy issue
Festuca sp.,Festuca sp.,,pytoy issue
Hieracium sp.,Hieracium sp.,,pytoy issue
Iris sp.,Iris sp.,,pytoy issue
Lactuca sp.,Lactuca sp.,,pytoy issue
Larix sp.,Larix sp.,,pytoy issue
Prunus sp.,Prunus sp.,,pytoy issue
Pyrola sp.,Pyrola sp.,,pytoy issue
Rhododendron sp.,Rhododendron sp.,,pytoy issue
Sparganium sp.,Sparganium sp.,,pytoy issue
Viburnum sp.,Viburnum sp.,,pytoy issue
Aster nemoralis,Aster nemoralis,,TPL:Oclemena nemoralis
Solidago puberula,Solidago puberula,,TPL:Accepted 
