ott190952 Adiantum_pedatum
ott1079925 Asplenium_platyneuron
ott5918857 Athyrium_asplenioides
ott558741 Botrychium_oneidense
ott756444 Botrypus_virginianus
ott309288 Brassica_sp.
ott958323 Carex_rosea
ott802748 Chaenorhinum_minus
ott627033 Cyperus_sp.
ott262105 Cypripedium_parviflorum_var._pubescens
ott861024 Dendrolycopodium_obscurum
ott11456 Dennstaedtia_punctilobula
ott634835 Diphasiastrum_digitatum
ott390734 Dryopteris_campyloptera
ott390736 Dryopteris_carthusiana
ott722163 Dryopteris_goldiana
ott722159 Dryopteris_intermedia
ott1056059 Dryopteris_marginalis
ott718999 Equisetum_arvense
ott79108 Huperzia_lucidula
ott79114 Isoetes_engelmannii
ott379050 Lycopodiella_alopecuroides
ott41631 Onoclea_sensibilis
ott373779 Orobanche_uniflora
ott765285 Osmunda_claytoniana
ott41623 Osmundastrum_cinnamomeum
ott709879 Panicum_sp.
ott797167 Parathelypteris_noveboracensis
ott860113 Polypodium_virginianum
ott647092 Polystichum_acrostichoides
ott530178 Populus_sp.
ott195639 Pteridium_aquilinum
ott557380 Rudbeckia_laciniata
ott904388 Rumex_obtusifolius
ott998890 Sassafras_albidum
ott405385 Sceptridium_dissectum
ott314422 Spiraea_tomentosa
ott915109 Thelypteris_palustris
ott3890815 Zizia_trifoliata
