Query_Name,OTL_Name,OTT_ID
Arabis canadensis,Boechera canadensis,990173
Asclepias incarnata ssp. pulchra,Asclepias incarnata subsp. pulchra,783335
Athyrium filix-femina var. asplenioides,Athyrium asplenioides,5918857
Calystegia sericata,Calystegia catesbeiana,3870473
Carex austro-caroliniana,Carex austrocaroliniana,3957765
Carya glabra,Carya glabra,899017
Cimicifuga americana,Actaea racemosa,512702
Diphasiastrum digitatum,Diphasiastrum digitatum,634835
Fraxinus americana,Fraxinus americana,671807
Habenaria ciliaris,Platanthera ciliaris,760557
Heracleum pratense,Pilosella caespitosa,809699
Lycopodium flabelliforme,Diphasiastrum digitatum,634835
Phlox caroliniana,Ilex caroliniana,6055194
Quercus rubra,Quercus rubra,791115
Solidago caesia,Solidago caesia,788656
Symphyotrichum subulatum var. ligulatum,Symphyotrichum subulatum var. subulatum,259523
Trillium erectum var. vaseyi,Trillium vaseyi,594647
Uvularia perfoliata,Uvularia perfoliata,257170
Vaccinium constablaei,Vaccinium corymbosum,567253
Viola papilionacea,Viola sororia,295613
Ceanothus americanus,Ceanothus americanus,559254
Gillenia trifoliata,Gillenia trifoliata,873698
Narcissus pseudonarcissus,Narcissus pseudonarcissus,226610
Carex debilis var. pubera
Carex sp.
Cerastium holosteoides var. vulgare
Cyperus sp.
Cypripedium calceolus var. pubescens
Habenaria flava var. herbiola
Solidago latissimifolia
Solidago roanensis
Vitis aestivalis var. argentifolia
