Query_Name,OTL_Name,OTT_ID,Note
Andropogon capillipes,Andropogon virginicus,3955469,
Asemeia violacea,Polygala violacea,179378,
Carex atlantica ssp. capillacea,Carex atlantica subsp. capillacea,574840,
Ceanothus microphyllus,Ceanothus microphyllus,877139,incertae sedis
Chasmanthium laxum,Chasmanthium laxum subsp. sessiliflorum,440447,
Dichanthelium aciculare,Dichanthelium aciculare,3955905,pytoy issue
Dichanthelium portoricense,Dichanthelium portoricense,3955841,pytoy issue
Dichanthelium portoricense subsp. patulum,Dichanthelium portoricense,3955841,pytoy issue
Dichanthelium strigosum subsp. leucoblepharis,Dichanthelium strigosum,543886,pytoy issue
Dichanthelium tenue,Dichanthium tenue,3955177,pytoy issue
Dolichandra unguis-cati,Dolichandra unguis-cati,1001573,"containing ""-"""
Hypericum crux-andreae,Hypericum crux-andreae,714852,"containing ""-"""
Morella cerifera,Morella cerifera,791123,pytoy issue
Smilax bona-nox,Smilax bona-nox,66510,"containing ""-"""
Spermolepis echinatus,Spermolepis echinata,652843,pytoy issue
Spiraea fritschiana var. parvifolia,Spiraea fritschiana,258073,
Symphyotrichum walteri,Symphyotrichum porteri,316514,
Verbena officinalis ssp. halei,Verbena halei,493355,
Verbesina heterophylla,Garberia heterophylla,34663,
Zanthoxylum clava-herculis,Zanthoxylum clava-herculis,3942437,"containing ""-"""
Dactyloctenium aegyptium,Dactyloctenium aegyptium,752144,incertae sedis
Heterotheca subaxillaris,Heterotheca subaxillaris,206813,incertae sedis
Imperata cylindrica,Imperata cylindrica,740074,incertae sedis
Sacciolepis striata,Sacciolepis striata,3956672,incertae sedis
Schizachyrium sanguineum,Schizachyrium sanguineum var. hirtiflorum,364056,
Serenoa repens,Serenoa repens,71637,incertae sedis
Andropogon glomeratus var. glaucopsis,Andropogon glomeratus,374238,
Bulbostylis ciliatifolia var. coarctata,,,
Chamaecrista nictitans var. aspera,,,
Corydalis micrantha subsp. australis,,,
Dichanthelium chamaelonche,,,
Dichanthelium commutatum subsp. equilaterale,,,
Dichanthelium commutatum subsp. joorii,,,
Dichanthelium wrightianum,,,
Koelreuteria elegans subsp. formosana,,,
Opuntia mesacantha subsp. lata,,,
Paspalum setaceum var. ciliatifolium,,,
Pluchea baccharis,,,
Rhynchosia tomentosa var. mollissima,,,
Solidago arguta var. caroliniana,,,
Solidago odora var. chapmanii,,,
Viburnum sp.,,,
