Query_Name,OTL_Name,OTT_ID
Andropogon elliottii,Andropogon ternarius,753445
Asemeia violacea,Ayenia violacea,6115364
Carya glabra,Carya glabra,899017
Crotalaria sagittalis,Crotalaria laburnifolia,1025283
Heterotheca nervosa,Pityopsis graminifolia,752299
Osmunda spectabilis,Senna spectabilis,901217
Quercus margarettae,Quercus stellata,316112
Sericocarpus linifolius,Cercocarpus ledifolius,207997
Smilax bona-nox,Smilax bona-nox,66510
Taxodium ascendens,Taxodium distichum var. imbricarium,741781
Yucca filamentosa,Yucca filamentosa,974212
Ceanothus americanus,Ceanothus americanus,559254
Taxodium distichum,Taxodium distichum,538146
Coreopsis major var. stellata
Liatris squarrosa var. hirsuta
Linum medium var. texanum
Mimosa quadrivalvis var. angustata
Orbexilum psoralioides
Physalis sp.
