Query_Name,OTL_Name,OTT_ID,Note
Ceanothus microphyllus,Ceanothus microphyllus,877139,incertae sedis
Dolichandra unguis-cati,Dolichandra unguis-cati,1001573,containing "-"
Hypericum crux-andreae,Hypericum crux-andreae,714852,containing "-"
Smilax bona-nox,Smilax bona-nox,66510,containing "-"
Zanthoxylum clava-herculis,Zanthoxylum clava-herculis,3942437,containing "-"
Dactyloctenium aegyptium,Dactyloctenium aegyptium,752144,incertae sedis
Heterotheca subaxillaris,Heterotheca subaxillaris,206813,incertae sedis
Imperata cylindrica,Imperata cylindrica,740074,incertae sedis
Sacciolepis striata,Sacciolepis striata,3956672,incertae sedis
Serenoa repens,Serenoa repens,71637,incertae sedis
Viburnum sp.,Viburnum sp.,,pytoy issue; multiple ott ids
