ott920656 Asclepias_tuberosa
ott1079925 Asplenium_platyneuron
ott5918857 Athyrium_asplenioides
ott405385 Botrychium_dissectum
ott180564 Castanea_pumila
ott607945 Cnidoscolus_stimulosus
ott842028 Crataegus_sp.
ott1025283 Crotalaria_laburnifolia
ott929953 Croton_sp.
ott779740 Danthonia_sericea
ott779798 Hibiscus_moscheutos
ott15103 Juncus_validus
ott687393 Lygodium_japonicum
ott971932 Macrothelypteris_torresiana
ott863066 Magnolia_virginiana
ott41631 Onoclea_sensibilis
ott41623 Osmundastrum_cinnamomeum
ott797167 Parathelypteris_noveboracensis
ott486687 Phlox_pilosa
ott177992 Pityopsis_graminifolia_var._graminifolia
ott177993 Pityopsis_graminifolia_var._latifolia
ott95634 Pleopeltis_polypodioides
ott647092 Polystichum_acrostichoides
ott530178 Populus_sp.
ott195639 Pteridium_aquilinum
ott935487 Pueraria_montana_var._lobata
ott837485 Rudbeckia_hirta
ott53768 Salvia_azurea
ott998890 Sassafras_albidum
ott86603 Stillingia_sylvatica
ott408252 Taxodium_distichum_var._distichum
ott741781 Taxodium_distichum_var._imbricarium
ott82023 Woodwardia_areolata
ott268674 Xyris_iridifolia
