Acalypha gracilens,Euphorbiaceae
Acer floridanum,Sapindaceae
Acer leucoderme,Sapindaceae
Acer rubrum,Sapindaceae
Aesculus parviflora,Sapindaceae
Aesculus pavia,Sapindaceae
Agalinis purpurea,Orobanchaceae
Albizia julibrissin,Fabaceae
Aletris farinosa,Nartheciaceae
Allium canadense,Amaryllidaceae
Alnus serrulata,Betulaceae
Ambrosia artemisiifolia,Asteraceae
Amelanchier arborea,Rosaceae
Amianthium muscitoxicum,Melanthiaceae
Amorpha fruticosa,Fabaceae
Amsonia tabernaemontana,Apocynaceae
Andropogon elliottii,Poaceae
Andropogon scoparius,Poaceae
Andropogon ternarius,Poaceae
Anemone acutiloba,Ranunculaceae
Anemone americana,Ranunculaceae
Arundinaria gigantea,Poaceae
Arundinaria tecta,Poaceae
Asclepias tuberosa,Apocynaceae
Asclepias variegata,Apocynaceae
Asclepias verticillata,Apocynaceae
Asemeia violacea,Polygalaceae
Asimina parviflora,Annonaceae
Asimina triloba,Annonaceae
Asplenium platyneuron,Aspleniaceae
Athyrium asplenioides,Woodsiaceae
Aureolaria pectinata,Orobanchaceae
Baptisia megacarpa,Fabaceae
Berchemia scandens,Rhamnaceae
Betula nigra,Betulaceae
Bidens alba,Asteraceae
Bignonia capreolata,Bignoniaceae
Boehmeria cylindrica,Urticaceae
Botrychium dissectum,Ophioglossaceae
Buchnera floridana,Orobanchaceae
Cacalia atriplicifolia,Asteraceae
Callicarpa americana,Lamiaceae
Carex blanda,Cyperaceae
Carex intumescens,Cyperaceae
Carex lurida,Cyperaceae
Carpinus caroliniana,Betulaceae
Carya glabra,Juglandaceae
Carya ovalis,Juglandaceae
Carya pallida,Juglandaceae
Carya tomentosa,Juglandaceae
Castanea dentata,Fagaceae
Castanea pumila,Fagaceae
Ceanothus americanus,Rhamnaceae
Celtis occidentalis var. georgiana,Cannabaceae
Centrosema virginianum,Fabaceae
Cephalanthus occidentalis,Rubiaceae
Cercis canadensis,Fabaceae
Chionanthus virginicus,Oleaceae
Cirsium carolinianum,Asteraceae
Cirsium horridulum,Asteraceae
Cnidoscolus stimulosus,Euphorbiaceae
Cocculus carolinus,Menispermaceae
Conoclinium coelestinum,Asteraceae
Coreopsis auriculata,Asteraceae
Coreopsis major var. stellata,Asteraceae
Coreopsis pubescens,Asteraceae
Cornus amomum,Cornaceae
Cornus florida,Cornaceae
Cornus foemina,Cornaceae
Cornus stricta,Cornaceae
Corylus cornuta,Betulaceae
Crataegus sp.,Rosaceae
Crotalaria rotundifolia,Fabaceae
Crotalaria sagittalis,Fabaceae
Croton sp.,Euphorbiaceae
Danthonia sericea,Poaceae
Decumaria barbara,Hydrangeaceae
Delphinium alabamicum,Ranunculaceae
Desmodium laevigatum,Fabaceae
Desmodium lineatum,Fabaceae
Desmodium viridiflorum,Fabaceae
Dianthus armeria,Caryophyllaceae
Diodia teres,Rubiaceae
Dioscorea villosa,Dioscoreaceae
Diospyros virginiana,Ebenaceae
Ditrysinia fruticosa,Euphorbiaceae
Elaeagnus umbellata var. parvifolia,Elaeagnaceae
Elephantopus carolinianus,Asteraceae
Elephantopus tomentosus,Asteraceae
Endodeca serpentaria,Aristolochiaceae
Enemion biternatum,Ranunculaceae
Erechtites hieracifolia,Asteraceae
Erigeron strigosus,Asteraceae
Eryngium yuccifolium,Apiaceae
Euonymus americanus,Celastraceae
Eupatorium album,Asteraceae
Eupatorium aromaticum,Asteraceae
Eupatorium mohrii,Asteraceae
Eupatorium rotundifolium,Asteraceae
Euphorbia corollata,Euphorbiaceae
Eutrochium fistulosum,Asteraceae
Fagus grandifolia,Fagaceae
Frangula caroliniana,Rhamnaceae
Fraxinus pennsylvanica,Oleaceae
Galium circaezans,Rubiaceae
Galium obtusum,Rubiaceae
Gaura filipes,Onagraceae
Gaylussacia dumosa,Ericaceae
Gelsemium sempervirens,Gelsemiaceae
Gnaphalium helleri,Asteraceae
Gymnopogon ambiguus,Poaceae
Gymnopogon brevifolius,Poaceae
Halesia carolina,Styracaceae
Hamamelis virginiana,Hamamelidaceae
Helenium amarum,Asteraceae
Helianthus angustifolius,Asteraceae
Helianthus divaricatus,Asteraceae
Helianthus microcephalus,Asteraceae
Helianthus resinosus,Asteraceae
Heterotheca mariana,Asteraceae
Heterotheca nervosa,Asteraceae
Hexastylis arifolia,Aristolochiaceae
Hibiscus moscheutos,Malvaceae
Hieracium gronovii,Asteraceae
Houstonia caerulea,Rubiaceae
Houstonia purpurea,Rubiaceae
Hydrangea quercifolia,Hydrangeaceae
Hypericum gentianoides,Hypericaceae
Hypericum hypericoides,Hypericaceae
Hypericum mutilum,Hypericaceae
Hypericum walteri,Hypericaceae
Hypoxis hirsuta,Hypoxidaceae
Ilex ambigua,Aquifoliaceae
Ilex decidua,Aquifoliaceae
Ilex opaca,Aquifoliaceae
Ilex verticillata,Aquifoliaceae
Ilex vomitoria,Aquifoliaceae
Illicium floridanum,Schisandraceae
Ionactis linariifolia,Asteraceae
Ipomoea pandurata,Convolvulaceae
Itea virginica,Iteaceae
Juncus effusus,Juncaceae
Juncus marginatus,Juncaceae
Juncus validus,Juncaceae
Juniperus virginiana,Cupressaceae
Kalmia latifolia,Ericaceae
Krigia biflora,Asteraceae
Lechea villosa,Cistaceae
Lespedeza bicolor,Fabaceae
Lespedeza cuneata,Fabaceae
Lespedeza hirta,Fabaceae
Lespedeza intermedia,Fabaceae
Lespedeza procumbens,Fabaceae
Lespedeza repens,Fabaceae
Leucothoe racemosa,Ericaceae
Liatris spicata,Asteraceae
Liatris squarrosa var. hirsuta,Asteraceae
Ligusticum canadense,Apiaceae
Linum medium var. texanum,Linaceae
Linum virginianum,Linaceae
Liquidambar styraciflua,Altingiaceae
Liriodendron tulipifera,Magnoliaceae
Lithospermum parviflorum,Boraginaceae
Lobelia puberula,Campanulaceae
Lonicera japonica,Caprifoliaceae
Lycopus virginicus,Lamiaceae
Lygodium japonicum,Lygodiaceae
Macrothelypteris torresiana,Thelypteridaceae
Magnolia acuminata,Magnoliaceae
Magnolia macrophylla,Magnoliaceae
Magnolia pyramidata,Magnoliaceae
Magnolia tripetala,Magnoliaceae
Magnolia virginiana,Magnoliaceae
Matelea decipiens,Apocynaceae
Mimosa microphylla,Fabaceae
Mimosa quadrivalvis var. angustata,Fabaceae
Mitchella repens,Rubiaceae
Morella caroliniensis,Myricaceae
Morella cerifera,Myricaceae
Morus alba,Moraceae
Morus rubra,Moraceae
Nothoscordum bivalve,Amaryllidaceae
Nymphaea odorata,Nymphaeaceae
Nyssa biflora,Cornaceae
Nyssa sylvatica,Cornaceae
Oenothera gaura,Onagraceae
Oenothera speciosa,Onagraceae
Onoclea sensibilis,Onocleaceae
Orbexilum psoralioides,Fabaceae
Osmunda spectabilis,Osmundaceae
Osmundastrum cinnamomeum,Osmundaceae
Ostrya virginiana,Betulaceae
Oxalis grandis,Oxalidaceae
Oxalis rubra,Oxalidaceae
Oxalis stricta,Oxalidaceae
Oxydendrum arboreum,Ericaceae
Panicum anceps,Poaceae
Panicum boscii,Poaceae
Panicum hemitomon,Poaceae
Panicum lanuginosum,Poaceae
Panicum sphaerocarpon,Poaceae
Panicum tenue,Poaceae
Parathelypteris noveboracensis,Thelypteridaceae
Parthenocissus quinquefolia,Vitaceae
Paspalum dilatatum,Poaceae
Paspalum floridanum,Poaceae
Paspalum laeve,Poaceae
Paspalum notatum var. saurae,Poaceae
Passiflora lutea,Passifloraceae
Penstemon pallidus,Plantaginaceae
Phlox pilosa,Polemoniaceae
Phoradendron leucarpum,Santalaceae
Physalis sp.,Solanaceae
Phytolacca americana,Phytolaccaceae
Pinus echinata,Pinaceae
