ott465444 Artemisia_sp.
ott842028 Crataegus_sp.
ott3865665 Dendrolycopodium_dendroideum
ott11456 Dennstaedtia_punctilobula
ott634835 Diphasiastrum_digitatum
ott600712 Diphasiastrum_tristachyum
ott390734 Dryopteris_campyloptera
ott722159 Dryopteris_intermedia
ott1056059 Dryopteris_marginalis
ott718999 Equisetum_arvense
ott542342 Equisetum_sylvaticum
ott718926 Gymnocarpium_dryopteris
ott79108 Huperzia_lucidula
ott719017 Lycopodium_clavatum
ott676502 Lycopodium_lagopus
ott970635 Lysimachia_terrestris
ott41631 Onoclea_sensibilis
ott765285 Osmunda_claytoniana
ott41620 Osmunda_regalis
ott41623 Osmundastrum_cinnamomeum
ott797167 Parathelypteris_noveboracensis
ott672741 Phegopteris_connectilis
ott590527 Polypodium_appalachianum
ott195639 Pteridium_aquilinum
ott837485 Rudbeckia_hirta
ott904388 Rumex_obtusifolius
ott458856 Salix_sp.
ott356406 Silphium_asteriscus
ott861024 Spinulum_annotinum
ott774987 Spiraea_alba
ott430917 Utricularia_cornuta
ott507032 Veronica_sp.
