Abies balsamea,Pinaceae
Acer pensylvanicum,Sapindaceae
Acer rubrum,Sapindaceae
Acer saccharum,Sapindaceae
Acer spicatum,Sapindaceae
Achillea millefolium,Asteraceae
Actaea pachypoda,Ranunculaceae
Alnus incana,Betulaceae
Alnus viridis,Betulaceae
Ambrosia artemisiifolia,Asteraceae
Amelanchier arborea,Rosaceae
Amelanchier bartramiana,Rosaceae
Amelanchier laevis,Rosaceae
Anaphalis margaritacea,Asteraceae
Antennaria neglecta,Asteraceae
Apocynum androsaemifolium,Apocynaceae
Apocynum cannabinum,Apocynaceae
Aquilegia vulgaris,Ranunculaceae
Aralia hispida,Araliaceae
Aralia nudicaulis,Araliaceae
Aralia racemosa,Araliaceae
Arceuthobium pusillum,Santalaceae
Aronia melanocarpa,Rosaceae
Artemisia sp.,Asteraceae
Asclepias exaltata,Apocynaceae
Asclepias syriaca,Apocynaceae
Athyrium filix-femina var. angustum,Woodsiaceae
Betula alleghaniensis,Betulaceae
Betula nigra,Betulaceae
Betula papyrifera,Betulaceae
Betula populifolia,Betulaceae
Calystegia sepium,Convolvulaceae
Capnoides sempervirens,Papaveraceae
Carex crawfordii,Cyperaceae
Carex oligosperma,Cyperaceae
Carex pauciflora,Cyperaceae
Carex sp.,Cyperaceae
Celastrus scandens,Celastraceae
Cephalanthus occidentalis,Rubiaceae
Chamaedaphne calyculata,Ericaceae
Chelone glabra,Plantaginaceae
Circaea alpina,Onagraceae
Clintonia borealis,Liliaceae
Comptonia peregrina,Myricaceae
Coptis trifolia,Ranunculaceae
Cornus alternifolia,Cornaceae
Cornus canadensis,Cornaceae
Cornus sericea,Cornaceae
Corylus americana,Betulaceae
Crataegus sp.,Rosaceae
Cypripedium acaule,Orchidaceae
Dendrolycopodium dendroideum,Lycopodiaceae
Dennstaedtia punctilobula,Dennstaedtiaceae
Dianthus carthusianorum,Caryophyllaceae
Diapensia lapponica,Diapensiaceae
Dichanthelium clandestinum,Poaceae
Dichanthelium sp.,Poaceae
Diervilla lonicera,Caprifoliaceae
Diphasiastrum digitatum,Lycopodiaceae
Diphasiastrum tristachyum,Lycopodiaceae
Drosera intermedia,Droseraceae
Drosera rotundifolia,Droseraceae
Dryopteris campyloptera,Dryopteridaceae
Dryopteris intermedia,Dryopteridaceae
Dryopteris marginalis,Dryopteridaceae
Empetrum atropurpureum,Ericaceae
Epifagus virginiana,Orobanchaceae
Epigaea repens,Ericaceae
Epilobium angustifolium,Onagraceae
Epipactis helleborine,Orchidaceae
Equisetum arvense,Equisetaceae
Equisetum sylvaticum,Equisetaceae
Erigeron canadensis,Asteraceae
Eriocaulon aquaticum,Eriocaulaceae
Eriophorum angustifolium,Cyperaceae
Eriophorum virginicum,Cyperaceae
Eupatorium perfoliatum,Asteraceae
Euphrasia nemorosa,Orobanchaceae
Euthamia graminifolia,Asteraceae
Eutrochium maculatum,Asteraceae
Fagus grandifolia,Fagaceae
Fallopia cilinodis,Polygonaceae
Fragaria virginiana,Rosaceae
Frangula alnus,Rhamnaceae
Fraxinus americana,Oleaceae
Galeopsis tetrahit,Lamiaceae
Galium odoratum,Rubiaceae
Galium palustre,Rubiaceae
Gaultheria hispidula,Ericaceae
Gaultheria procumbens,Ericaceae
Gaylussacia baccata,Ericaceae
Gymnocarpium dryopteris,Cystopteridaceae
Hamamelis virginiana,Hamamelidaceae
Hieracium paniculatum,Asteraceae
Hieracium umbellatum,Asteraceae
Houstonia caerulea,Rubiaceae
Huperzia lucidula,Lycopodiaceae
Hypericum canadense,Hypericaceae
Hypericum majus,Hypericaceae
Hypericum punctatum,Hypericaceae
Ilex laevigata,Aquifoliaceae
Ilex mucronata,Aquifoliaceae
Ilex verticillata,Aquifoliaceae
Iris versicolor,Iridaceae
Juncus effusus,Juncaceae
Juncus sp.,Juncaceae
Juniperus communis,Cupressaceae
Kalmia polifolia,Ericaceae
Kalmia procumbens,Ericaceae
Lactuca biennis,Asteraceae
Larix laricina,Pinaceae
Lechea intermedia,Cistaceae
Linaria canadensis,Plantaginaceae
Linnaea borealis,Caprifoliaceae
Lobelia dortmanna,Campanulaceae
Lobelia inflata,Campanulaceae
Lotus corniculatus,Fabaceae
Luzula spicata,Juncaceae
Lycopodium clavatum,Lycopodiaceae
Lycopodium lagopus,Lycopodiaceae
Lycopus uniflorus,Lamiaceae
Lysimachia terrestris,Primulaceae
Maianthemum canadense,Asparagaceae
Maianthemum racemosum,Asparagaceae
Medeola virginiana,Liliaceae
Medicago lupulina,Fabaceae
Mitchella repens,Rubiaceae
Monarda fistulosa,Lamiaceae
Monotropa uniflora,Ericaceae
Myrica gale,Myricaceae
Nabalus altissimus,Asteraceae
Nuphar variegata,Nymphaeaceae
Oclemena acuminata,Asteraceae
Oenothera biennis,Onagraceae
Onoclea sensibilis,Onocleaceae
Osmunda claytoniana,Osmundaceae
Osmunda regalis,Osmundaceae
Osmundastrum cinnamomeum,Osmundaceae
Ostrya virginiana,Betulaceae
Oxalis montana,Oxalidaceae
Parathelypteris noveboracensis,Thelypteridaceae
Paronychia argyrocoma,Caryophyllaceae
Penstemon digitalis,Plantaginaceae
Phegopteris connectilis,Thelypteridaceae
Picea mariana,Pinaceae
Picea rubens,Pinaceae
Pilosella aurantiaca,Asteraceae
Pinus resinosa,Pinaceae
Pinus strobus,Pinaceae
Plantago rugelii,Plantaginaceae
Platanthera aquilonis,Orchidaceae
Platanthera macrophylla,Orchidaceae
Platanthera psycodes,Orchidaceae
Poa sp.,Poaceae
Pogonia ophioglossoides,Orchidaceae
Polypodium appalachianum,Polypodiaceae
Populus balsamifera,Salicaceae
Populus grandidentata,Salicaceae
Populus tremuloides,Salicaceae
Potamogeton alpinus,Potamogetonaceae
Potentilla recta,Rosaceae
Prunella vulgaris,Lamiaceae
Prunus pensylvanica,Rosaceae
Prunus serotina,Rosaceae
Pteridium aquilinum,Dennstaedtiaceae
Pyrola americana,Ericaceae
Quercus rubra,Fagaceae
Ranunculus acris,Ranunculaceae
Ranunculus tuberosus,Ranunculaceae
Rhododendron canadense,Ericaceae
Rhododendron groenlandicum,Ericaceae
Rhus hirta,Anacardiaceae
Robinia pseudoacacia,Fabaceae
Rosa spinosissima,Rosaceae
Rubus allegheniensis,Rosaceae
Rubus dalibarda,Rosaceae
Rubus laciniatus,Rosaceae
Rubus odoratus,Rosaceae
Rudbeckia hirta,Asteraceae
Rumex acetosella,Polygonaceae
Rumex obtusifolius,Polygonaceae
Salix sp.,Salicaceae
Sambucus canadensis,Adoxaceae
Sambucus racemosa,Adoxaceae
Saponaria officinalis,Caryophyllaceae
Sarracenia purpurea,Sarraceniaceae
Scirpus cyperinus,Cyperaceae
Scorzoneroides autumnalis,Asteraceae
Sibbaldiopsis tridentata,Rosaceae
Silphium asteriscus,Asteraceae
Solidago arguta,Asteraceae
Solidago bicolor,Asteraceae
Solidago rugosa,Asteraceae
Solidago simplex,Asteraceae
Sorbus americana,Rosaceae
Sparganium americanum,Typhaceae
Sparganium angustifolium,Typhaceae
Spinulum annotinum,Lycopodiaceae
Spiraea alba,Rosaceae
Stachys annua,Lamiaceae
Stellaria borealis,Caryophyllaceae
Streptopus lanceolatus,Liliaceae
Symphyotrichum cordifolium,Asteraceae
Symphyotrichum lanceolatum,Asteraceae
Symphyotrichum novi-belgii,Asteraceae
Symphyotrichum puniceum,Asteraceae
Symphyotrichum sp.,Asteraceae
Taxus canadensis,Taxaceae
Thalictrum pubescens,Ranunculaceae
Thuja occidentalis,Cupressaceae
Tilia americana,Malvaceae
Triadenum fraseri,Hypericaceae
Trifolium arvense,Fabaceae
Trillium cernuum,Melanthiaceae
Trillium erectum,Melanthiaceae
